count,location
632263,"Orange County, California Area"
438558,"Los Angeles, California"
338249,"Sacramento, California Area"
269025,"San Diego, California"
244599,"San Francisco, California"
173335,"San Jose, California"
106734,"Sacramento, California"
75820,"Fresno, California Area"
69970,"Mountain View, California"
65398,"Long Beach, California"
64313,"Irvine, California"
58033,"Santa Barbara, California Area"
57059,"Oakland, California"
54481,"Riverside, California"
52532,"Fresno, California"
47022,"Bakersfield, California"
46805,"Stockton, California Area"
45279,"Bakersfield, California Area"
45178,"Beverly Hills, California"
37621,"Anaheim, California"
37325,"Berkeley, California"
37312,"Modesto, California Area"
37055,"San Luis Obispo, California Area"
35863,"Fremont, California"
32388,"Salinas, California Area"
31898,"Santa Clara, California"
31409,"Huntington Beach, California"
30376,"Corona, California"
29130,"Pasadena, California"
29024,"Sunnyvale, California"
28705,"Santa Monica, California"
28703,"Santa Rosa, California"
28066,"Stockton, California"
27968,"Redding, California Area"
27696,"Chula Vista, California"
27573,"San Mateo, California"
27539,"Santa Barbara, California"
27088,"Torrance, California"
25507,"Santa Ana, California"
25464,"Rancho Cucamonga, California"
24433,"Palo Alto, California"
23852,"Roseville, California"
23712,"Modesto, California"
22912,"Chico, California Area"
22299,"Glendale, California"
22111,"Temecula, California"
21917,"Hayward, California"
21803,"Santa Cruz, California"
21783,"Carlsbad, California"
21116,"Davis, California"
20986,"Burbank, California"
20751,"Orange, California"
20554,"Newport Beach, California"
20388,"Oceanside, California"
19978,"Visalia, California Area"
19751,"Ventura, California"
18878,"Elk Grove, California"
18842,"San Bernardino, California"
18725,"Fullerton, California"
18685,"Costa Mesa, California"
18548,"Whittier, California"
18392,"Murrieta, California"
18272,"North Hollywood, California"
17858,"Ontario, California"
17679,"Fontana, California"
17570,"Lancaster, California"
17531,"Escondido, California"
17419,"Chico, California"
17105,"Simi Valley, California"
17104,"El Cajon, California"
16449,"Moreno Valley, California"
16293,"Oxnard, California"
16091,"San Luis Obispo, California"
15819,"La Jolla, California"
15570,"Concord, California"
15458,"Walnut Creek, California"
14867,"Van Nuys, California"
14865,"Garden Grove, California"
14602,"Palmdale, California"
13941,"Redwood City, California"
13786,"Clovis, California"
13703,"Woodland Hills, California"
13564,"Napa, California"
13560,"Thousand Oaks, California"
13559,"Pomona, California"
13532,"Pleasanton, California"
13223,"Redding, California"
13074,"Cupertino, California"
12983,"Folsom, California"
12961,"Livermore, California"
12851,"Mission Viejo, California"
12744,"Fairfield, California"
12730,"Tracy, California"
12730,"Vista, California"
12669,"Redondo Beach, California"
12482,"Visalia, California"
12421,"Monterey, California"
12271,"Vacaville, California"
12265,"Salinas, California"
12236,"Vallejo, California"
12051,"Camarillo, California"
11993,"San Ramon, California"
11738,"San Leandro, California"
11644,"Victorville, California"
11417,"Valencia, California"
11261,"Downey, California"
11250,"Yuba City, California Area"
11244,"Milpitas, California"
11205,"Redlands, California"
11204,"Santa Maria, California"
11043,"West Covina, California"
11021,"San Marcos, California"
10678,"Northridge, California"
10578,"Antioch, California"
10536,"Daly City, California"
10495,"Inglewood, California"
10337,"Merced, California Area"
10284,"San Clemente, California"
10202,"Hemet, California"
10176,"Sherman Oaks, California"
10156,"Tustin, California"
10129,"Upland, California"
10086,"Citrus Heights, California"
10019,"Stanford, California"
9914,"Palm Desert, California"
9846,"Alameda, California"
9711,"Rocklin, California"
9643,"Chino Hills, California"
9571,"Palm Springs, California"
9556,"Chino, California"
9518,"La Mesa, California"
9353,"Hesperia, California"
9349,"San Rafael, California"
9326,"Petaluma, California"
9157,"Lakewood, California"
9153,"Rancho Cordova, California"
9044,"South San Francisco, California"
8920,"Covina, California"
8817,"Carson, California"
8726,"Laguna Niguel, California"
8712,"Yorba Linda, California"
8589,"Alhambra, California"
8578,"Hawthorne, California"
8551,"Encinitas, California"
8424,"Westminster, California"
8419,"Culver City, California"
8408,"Gardena, California"
8401,"Manteca, California"
8305,"Lake Forest, California"
8272,"Buena Park, California"
8175,"Goleta, California"
8153,"Menlo Park, California"
8113,"Merced, California"
8039,"Union City, California"
8029,"Canyon Country, California"
8019,"Norwalk, California"
7967,"Arcadia, California"
7869,"Turlock, California"
7778,"San Pedro, California"
7664,"Campbell, California"
7647,"Los Gatos, California"
7567,"Cerritos, California"
7555,"Lodi, California"
7509,"Compton, California"
7489,"Pittsburg, California"
7482,"Fountain Valley, California"
7470,"Apple Valley, California"
7379,"Canoga Park, California"
7375,"Richmond, California"
7331,"Dublin, California"
7288,"Aliso Viejo, California"
7244,"Brea, California"
7233,"La Puente, California"
7210,"Claremont, California"
7190,"Venice, California"
7161,"Lake Elsinore, California"
7118,"Encino, California"
7104,"Indio, California"
7092,"Novato, California"
7065,"Danville, California"
7043,"Santa Clarita, California"
6957,"Carmichael, California"
6839,"Brentwood, California"
6837,"Glendora, California"
6802,"Walnut, California"
6707,"Rialto, California"
6695,"Sylmar, California"
6643,"Auburn, California"
6629,"Castro Valley, California"
6612,"Spring Valley, California"
6604,"Diamond Bar, California"
6593,"Eureka, California"
6546,"El Segundo, California"
6482,"Cypress, California"
6467,"Reseda, California"
6459,"Bellflower, California"
6442,"El Dorado Hills, California"
6420,"Santee, California"
6397,"Manhattan Beach, California"
6363,"Newbury Park, California"
6344,"West Hollywood, California"
6311,"Poway, California"
6276,"La Mirada, California"
6258,"La Habra, California"
6223,"Chatsworth, California"
6215,"Rohnert Park, California"
6200,"Martinez, California"
6122,"Perris, California"
6079,"Studio City, California"
6070,"Yuba City, California"
6019,"Granada Hills, California"
5927,"Morgan Hill, California"
5880,"San Gabriel, California"
5850,"Grass Valley, California"
5836,"Hacienda Heights, California"
5834,"Gilroy, California"
5788,"Placentia, California"
5756,"Paso Robles, California"
5732,"Burlingame, California"
5661,"Madera, California"
5653,"Woodland, California"
5626,"Monterey Park, California"
5622,"Los Altos, California"
5598,"West Sacramento, California"
5586,"Fair Oaks, California"
5586,"Sun City, California"
5567,"Rancho Santa Margarita, California"
5512,"Lincoln, California"
5493,"Menifee, California"
5455,"La Quinta, California"
5427,"Newark, California"
5362,"Rowland Heights, California"
5335,"Laguna Beach, California"
5297,"Watsonville, California"
5289,"Azusa, California"
5286,"Yucaipa, California"
5270,"El Monte, California"
5249,"Hanford, California"
5226,"Marina Del Rey, California"
5174,"Malibu, California"
5162,"Pacifica, California"
5091,"Emeryville, California"
5083,"Calabasas, California"
5049,"Lompoc, California"
5018,"Monrovia, California"
4990,"Pleasant Hill, California"
4919,"San Bruno, California"
4911,"Hollister, California"
4877,"San Pablo, California"
4874,"Highland, California"
4857,"Fallbrook, California"
4846,"San Dimas, California"
4809,"Rosemead, California"
4773,"Montebello, California"
4765,"Baldwin Park, California"
4746,"South Lake Tahoe, California"
4733,"Rancho Palos Verdes, California"
4724,"Arcata, California"
4694,"Westlake Village, California"
4657,"Moorpark, California"
4603,"Lakeside, California"
4596,"Laguna Hills, California"
4569,"Antelope, California"
4546,"Pacoima, California"
4515,"La Verne, California"
4509,"South Gate, California"
4436,"Placerville, California"
4433,"Pico Rivera, California"
4376,"Beaumont, California"
4338,"Tulare, California"
4322,"North Hills, California"
4278,"Saratoga, California"
4273,"Sonoma, California"
4228,"Agoura Hills, California"
4220,"National City, California"
4206,"Tarzana, California"
4192,"Benicia, California"
4108,"Dana Point, California"
4066,"Ridgecrest, California"
4064,"Colton, California"
4054,"Truckee, California"
4043,"Porter Ranch, California"
3995,"Altadena, California"
3992,"Cathedral City, California"
3988,"Winnetka, California"
3978,"San Carlos, California"
3918,"Ramona, California"
3907,"Loma Linda, California"
3895,"Bell, California"
3838,"El Centro, California"
3813,"Valley Village, California"
3792,"San Juan Capistrano, California"
3784,"Porterville, California"
3775,"Mill Valley, California"
3759,"Sebastopol, California"
